The Wizard of Oz	オズの魔法使い
As they passed over the hill the Hammer-Heads yelled with vexation, and shot their heads high in the air, but they could not reach the Winged Monkeys, which carried Dorothy and her comrades safely over the hill and set them down in the beautiful country of the Quadlings.	丘の上を飛ぶとトンカチ頭たちは腹をたててどなりまして、頭を空高くうちあげましたが、翼ザルたちには届きませんで、ドロシーと仲間たちは安全に丘をこえて、美しいカドリングの国におろされたのです。
"This is the last time you can summon us,"	「あなたがわれわれを呼び出せるのはこれが最後でした。
said the leader to Dorothy;	ですからさようなら、ご幸運を」
"so good-bye and good luck to you."	と首領がドロシーに言いました。
"Good-bye, and thank you very much,"	「さよなら、どうもありがとう」
returned the girl;	と女の子は答えました。
and the Monkeys rose into the air and were out of sight in a twinkling.	サルたちは空にまいあがって、一瞬でかき消えてしまいました。
The country of the Quadlings seemed rich and happy.	カドリングの国は豊かで幸福そうです。
There was field upon field of ripening grain,	どこまでも畑が広がって、穀物が実っています。
with well-paved roads running between, and pretty rippling brooks with strong bridges across them.	その間にはきちんと舗装された道路が通り、きれいなさざめく小川にはしっかりした橋がかかっています。
The fences and houses and bridges were all painted bright red,	柵や家や橋はみんな真っ赤に塗られています。
just as they had been painted yellow in the country of the Winkies and blue in the country of the Munchkins.	ウィンキーの国が黄色に塗られ、マンチキンの国が青だったのと同じです。
The Quadlings themselves, who were short and fat and looked chubby and good-natured, were dressed all in red, which showed bright against the green grass and the yellowing grain.	当のカドリングたちは、小さくて太って、ぽちゃぽちゃして気のいい人々のようでしたが、みんな赤い服を着ていて、それが緑の草と黄色に熟しつつある穀物によく映えています。
The Monkeys had set them down near a farmhouse, and the four travelers walked up to it and knocked at the door.	サルたちはみんなを農場の近くにおろしてくれたので、旅人四人はその農家にいってドアを叩きました。
It was opened by the farmer's wife, and when Dorothy asked for something to eat the woman gave them all a good dinner, with three kinds of cake and four kinds of cookies, and a bowl of milk for Toto.	それを開けたのは農夫の奥さんで、ドロシーが何か食べ物をくださいというと、その婦人はおいしい夕食をみんなに食べさせてくれて、ケーキは三種類、クッキーも四種類、トトにはミルクをくれたのでした。
"How far is it to the Castle of Glinda?"	「グリンダの城まではどのくらいですか？」
asked the child.	と子供はたずねます。
"It is not a great way,"	「すぐそこだよ。
answered the farmer's wife.	南への道をいったらすぐに着くよ」
"Take the road to the South and you will soon reach it.	と農夫の奥さんは言いました。
Thanking the good woman, they started afresh and walked by the fields and across the pretty bridges until they saw before them a very beautiful Castle.	善良な婦人にお礼をいってから、みんなは元気を取り戻して、畑の横を歩き、きれいな橋をわたるうちに、目の前にとてもきれいなお城が見えてきました。
Before the gates were three young girls, dressed in handsome red uniforms trimmed with gold braid;	門の前には娘が三人いて、金のふちどりをつけた、かっこいい赤い制服を着ています。
and as Dorothy approached, one of them said to her:	ドロシーが近づくと、その一人がこう呼びかけました。
"Why have you come to the South Country?"	「南の国に何のご用？」
