TO THE HESITATING PURCHASER	読もうかどうか迷っている人へ
At the first outset, heavy, miry ground and a matted, marish vegetation greatly delayed our progress;	はじめは、重いぬかった地面で、足をもつれさせる沼地に生えている植物のせいで、なかなか前に進めなかった。
but by little and little the hill began to steepen and become stony under foot, and the wood to change its character and to grow in a more open order.	でも少しずつ、山はけわしく、足元は石ころになり、森もその植生をかえ、より開けた土地にやってきた。
It was, indeed, a most pleasant portion of the island that we were now approaching.	特に今近づきつつあるのは、この島でも一番気持ちのいい場所だった。
A heavy-scented broom and many flowering shrubs had almost taken the place of grass.	香りが強いエニシダや花をたくさんつけた低木が、草にとってかわっていた。
Thickets of green nutmeg-trees were dotted here and there with the red columns and the broad shadow of the pines;	緑の濃いナツメグがあちこちに、赤い幹で大きな影をつくっている松の木とともに点在していた。
and the first mingled their spice with the aroma of the others.	そしてナツメグの香りが、松の木の香りと混じっていた。
The air, besides, was fresh and stirring, and this, under the sheer sunbeams, was a wonderful refreshment to our senses.	空気はさわやかで、かすかに風がふいていて、そして強い日ざしのもとで、とても気持ちよく感じられた。
The party spread itself abroad, in a fan shape, shouting and leaping to and fro.	一行はおうぎ型にひろがって、大声をあげてあちこちに飛び回っていた。
About the centre, and a good way behind the rest, Silver and I followed	真ん中に他の者よりだいぶ遅れて、シルバーと僕があとに続いていた。
--I tethered by my rope, he ploughing, with deep pants, among the sliding gravel.	僕はロープでしばられ、シルバーは息をきらして、すべりやすい砂利の上で足をひきずっていた。
From time to time, indeed, I had to lend him a hand,	ときどき実際、僕はシルバーに手をかしてやらなければならなかった。
or he must have missed his footing and fallen backward down the hill.	そうしなかったら、シルバーは足をすべらして、山から転がり落ちてしまったにちがいない。
We had thus proceeded for about half a mile and were approaching the brow of the plateau when the man upon the farthest left began to cry aloud, as if in terror.	僕らはこうして半マイルも進んだだろうか、高原の頂上に近づいていたときに、一番左にいた男が、まるで怖気づいたように大声をだした。
Shout after shout came from him, and the others began to run in his direction.	つづけさまに叫んだので、他のものもその方向に走っていった。
"He can't 'a found the treasure,"	「宝をみつけたはずはねぇな」
said old Morgan, hurrying past us from the right,	モーガンは、右から僕らを追い越してそう言った。
"for that's clean a-top."	「もっとてっぺんにあるはずだからな」
Indeed, as we found when we also reached the spot, it was something very different.	実際、僕らもその場所に行って見てみると、それは宝とは似ても似つかないものだった。
At the foot of a pretty big pine and involved in a green creeper, which had even partly lifted some of the smaller bones, a human skeleton lay, with a few shreds of clothing, on the ground.	とても大きな松の木の足元に、緑のつる草にうもれて、人の骸骨がぼろきれの衣服と地面にあり、つる草でいくぶん骸骨がもちあがっていたのだった。
I believe a chill struck for a moment to every heart.	少しの間は、みんなぞっとしたと僕は思う。
"He was a seaman,"	「船乗りだな」
said George Merry,	ジョージ・メリーが言った。
who, bolder than the rest, had gone up close and was examining the rags of clothing.	他のものより大胆だったので、近くまでいってぼろきれの服を調べたのだ。
"Leastways, this is good sea-cloth."	「少なくとも、上等の船員服だな」
"Aye, aye,"	「そうだな、そうだろう」
said Silver;	シルバーは言った。
"like enough;	「そんなもんだろうよ。
you wouldn't look to find a bishop here, I reckon.	僧正の服が見つかるとでも思ってるんじゃねぇだろうな。
But what sort of a way is that for bones to lie?	わしが思うに、この骨の位置はどうだろう？
'Tain't in natur'."	自然とはいえねぇな」
