PETER PAN IN KENSINGTON GARDENS 　James Matthew Barrie	ケンジントン公園のピーターパン
Sitting on the rail at the foot of the bed, he played a beautiful lullaby to his mother on his pipe.	ベッドの足の方の枠に座って、おかあさんのために美しい子守唄を笛でふきました。
He had made it up himself out of the way she said "Peter,"	おかあさんが「ピーター」とよぶように、自分で唄をつくりました。
and he never stopped playing until she looked happy.	ピーターは、おかあさんが幸せそうに見えるまで笛をふくのをやめませんでした。
He thought this so clever of him that he could scarcely resist wakening her	ピーターは自分のことをとてもかしこいと思ったので、もうすこしでおかあさんを起こして、
to hear her say, "Oh, Peter, how exquisitely you play."	「ピーター、なんて上手に笛がふけるんでしょう」といってもらうところでした。
However, as she now seemed comfortable, he again cast looks at the window.	でもおかあさんがだんだん満足そうに見えたので、また窓の方を見やりました。
You must not think that he meditated flying away and never coming back.	ピーターが飛び出して、二度と帰ってこないつもりだとは、考えないでください。
He had quite decided to be his mother's boy,	ピーターはおかあさんの子供にもどることはすっかり決めていたのです。
but hesitated about beginning to-night.	でも今夜にしようか迷っていたのでした。
It was the second wish which troubled him.	頭をなやましているのは、２つ目のお願いのことでした。
He no longer meant to make it a wish to be a bird, but not to ask for a second wish seemed wasteful,	もう鳥になりたいというお願いをするつもりはありませんが、２つ目のお願いをしないのもなんだか無駄に思えたのでした。
