PETER PAN [PETER AND WENDY]	ピーターパンとウェンディ
From far within him he heard a creaking as of rusty portals,	フック自身の心の奥底から、さびついた門がたてるようなギーギーという音が聞こえてきます。
and through them came a stern tap-tap-tap, like hammering in the night when one cannot sleep.	門を通して厳しいトン・トン・トンといった、まるで眠れない夜に聞こえてくるハンマーのような音が響きました。
"Have you been good form to-day?"	「今日も礼儀正しかったか？」
was their eternal question.	というのが、その永遠の問いかけでした。
"Fame, fame, that glittering bauble, it is mine,"	「有名、有名、そのきらびやかなマガイモノはわしのものだ」
he cried.	フックは口にだして言いました。
"Is it quite good form to be distinguished at anything?"	「何事においてでも、有名になるということは礼儀にかなっているだろうか？」
the tap-tap from his school replied.	学校時代からのトン・トンといったフックの心の音が答えます。
"I am the only man whom Barbecue feared," he urged,	「わしはバーベキューが恐れた唯一の男だぞ。
"and Flint feared Barbecue."	バーベキューはフリントが恐れた男だし」
"Barbecue, Flint -- what house?"	「バーベキュー、フリント、どの学寮出身だい？」
came the cutting retort.	辛らつな返事が返ってきます。
Most disquieting reflection of all, was	全てをよく考えてみると、もっとも気にかかるのはこういうことです。
it not bad form to think about good form?	よい礼儀作法について考えなくてはいけないことそれ自体が、礼儀作法をわきまえてないことを意味するのでは？
His vitals were tortured by this problem.	フックの良心はこの問題にきりきりと苦しめられ、
It was a claw within him sharper than the iron one;	これこそ鉄のつめより鋭く心をえぐるつめでした。
and as it tore him, the perspiration dripped down his tallow [waxy] countenance and streaked his doublet.	そのつめが心を痛めつけるとき、フックのろうのような顔から汗が滝のようにしたたり、上衣にしみをつけました。
Ofttimes he drew his sleeve across his face, but there was no damming that trickle.	そんな時にはフックは袖で額をぬぐうのですが、流れ落ちる汗を押しとどめることはできないのです。
Ah, envy not Hook.	えぇ、フックみたいじゃなかったら、どんなにうらやましいことでしょう。
There came to him a presentiment of his early dissolution [death].	フックは、近いうちに破滅する予感を覚えました。
